year,IPv4,IPv6
2000,3,0
2001,9766,0
2002,12483,0
2003,14446,0
2004,16528,0
2005,18862,450
2006,21389,0
2007,24223,656
2008,27162,843
2009,30464,1243
2010,33404,1859
2011,36502,2969
2012,40022,4997
2013,43264,6630
2014,46115,7904
2015,49386,9190
2016,52804,10843
2017,56592,12778
2018,60322,14635
