year,v4,v6
2000,4,0
2001,41181,0
2002,50024,0
2003,56934,0
2004,64943,0
2005,75183,1081
2006,81878,0
2007,96815,1463
2008,108840,2578
2009,125271,3934
2010,134764,6099
2011,145924,9268
2012,170143,18231
